Anomaly,year,temp,temp_c,anomaly_c,state
1.22,1941,42.91,23.838888888888885,0.6777777777777777,Average
3.44,1941,36.12,20.066666666666666,1.911111111111111,Average
-0.28,1942,29.84,16.577777777777776,-0.15555555555555556,Average
-3.08,1942,30.74,17.077777777777776,-1.711111111111111,Average
-0.19,1942,41.31,22.95,-0.10555555555555556,Average
2.01,1942,53.06,29.477777777777778,1.1166666666666665,Average
-1.11,1942,59.09,32.827777777777776,-0.6166666666666667,Average
-0.58,1942,67.91,37.727777777777774,-0.3222222222222222,Average
0.35,1942,73.96,41.08888888888888,0.19444444444444442,Average
-0.32,1942,71.78,39.87777777777778,-0.17777777777777778,Average
-1.2,1942,63.66,35.36666666666667,-0.6666666666666666,Average
0.46,1942,54.57,30.316666666666666,0.25555555555555554,Average
1.47,1942,43.16,23.977777777777774,0.8166666666666667,Average
0.29,1942,32.97,18.316666666666666,0.1611111111111111,Average
-0.71,1943,29.41,16.33888888888889,-0.39444444444444443,Average
2.46,1943,36.28,20.155555555555555,1.3666666666666667,Average
-3,1943,38.5,21.38888888888889,-1.6666666666666665,Average
1.83,1943,52.88,29.37777777777778,1.0166666666666666,Average
-0.48,1943,59.72,33.17777777777778,-0.26666666666666666,Average
0.28,1943,68.77,38.205555555555556,0.15555555555555556,Average
0.65,1943,74.26,41.25555555555556,0.3611111111111111,Average
1.35,1943,73.45,40.80555555555556,0.75,Average
-0.53,1943,64.33,35.73888888888889,-0.29444444444444445,Average
-0.42,1943,53.69,29.827777777777776,-0.2333333333333333,Average
-0.78,1943,40.91,22.727777777777774,-0.43333333333333335,Average
-0.09,1943,32.59,18.105555555555558,-0.049999999999999996,Average
1.9,1944,32.02,17.78888888888889,1.0555555555555556,Average
0.68,1944,34.5,19.166666666666668,0.37777777777777777,Average
-3,1944,38.5,21.38888888888889,-1.6666666666666665,Average
-2.08,1944,48.97,27.205555555555556,-1.1555555555555557,Average
1.82,1944,62.02,34.455555555555556,1.011111111111111,Average
-0.13,1944,68.36,37.977777777777774,-0.07222222222222223,Average
-0.82,1944,72.79,40.43888888888889,-0.4555555555555555,Average
0,1944,72.1,40.05555555555555,0,Average
0.4,1944,65.26,36.25555555555556,0.22222222222222224,Average
1.16,1944,55.27,30.705555555555556,0.6444444444444444,Average
-0.19,1944,41.5,23.055555555555554,-0.10555555555555556,Average
-2.01,1944,30.67,17.038888888888888,-1.1166666666666665,Average
0.37,1945,30.49,16.938888888888886,0.20555555555555555,Average
1.46,1945,35.28,19.6,0.8111111111111111,Average
4.04,1945,45.54,25.299999999999997,2.2444444444444445,Average
-0.83,1945,50.22,27.9,-0.4611111111111111,Average
-1.92,1945,58.28,32.37777777777778,-1.0666666666666667,Average
-2.61,1945,65.88,36.599999999999994,-1.45,Average
-0.68,1945,72.93,40.51666666666667,-0.37777777777777777,Average
0.06,1945,72.16,40.08888888888889,0.03333333333333333,Average
0.13,1945,64.99,36.105555555555554,0.07222222222222223,Average
0.03,1945,54.14,30.077777777777776,0.016666666666666666,Average
0.32,1945,42.01,23.33888888888889,0.17777777777777778,Average
-3.6,1945,29.08,16.155555555555555,-2,Average
1.27,1946,31.39,17.43888888888889,0.7055555555555556,Average
1.06,1946,34.88,19.37777777777778,0.5888888888888889,Average
5.28,1946,46.78,25.988888888888887,2.9333333333333336,Average
3.56,1946,54.61,30.33888888888889,1.9777777777777779,Average
-1.45,1946,58.75,32.638888888888886,-0.8055555555555555,Average
-0.17,1946,68.32,37.95555555555555,-0.09444444444444444,Average
0.24,1946,73.85,41.02777777777777,0.13333333333333333,Average
-0.93,1946,71.17,39.53888888888889,-0.5166666666666667,Average
-0.32,1946,64.54,35.85555555555556,-0.17777777777777778,Average
-0.96,1946,53.15,29.527777777777775,-0.5333333333333333,Average
0.05,1946,41.74,23.18888888888889,0.02777777777777778,Average
3.5,1946,36.18,20.099999999999998,1.9444444444444444,Average
1.66,1947,31.78,17.655555555555555,0.9222222222222222,Average
-2.41,1947,31.41,17.45,-1.338888888888889,Average
-2.75,1947,38.75,21.52777777777778,-1.5277777777777777,Average
-0.1,1947,50.95,28.305555555555557,-0.05555555555555556,Average
-0.07,1947,60.13,33.40555555555556,-0.03888888888888889,Average
-1.77,1947,66.72,37.06666666666666,-0.9833333333333333,Average
-0.8,1947,72.81,40.45,-0.4444444444444445,Average
1.98,1947,74.08,41.15555555555555,1.0999999999999999,Average
1.68,1947,66.54,36.96666666666667,0.9333333333333332,Average
4.69,1947,58.8,32.666666666666664,2.6055555555555556,Average
-3.59,1947,38.1,21.166666666666668,-1.9944444444444442,Average
0.24,1947,32.92,18.288888888888888,0.13333333333333333,Average
-2.24,1948,27.88,15.488888888888887,-1.2444444444444445,Average
-2.2,1948,31.62,17.566666666666666,-1.2222222222222223,Average
-2.79,1948,38.71,21.505555555555556,-1.55,Average
2.3,1948,53.35,29.63888888888889,1.2777777777777777,Average
0.04,1948,60.24,33.46666666666667,0.022222222222222223,Average
0.27,1948,68.76,38.2,0.15,Average
-0.35,1948,73.26,40.7,-0.19444444444444442,Average
-0.05,1948,72.05,40.02777777777778,-0.02777777777777778,Average
1.21,1948,66.07,36.70555555555555,0.6722222222222222,Average
-0.92,1948,53.19,29.549999999999997,-0.5111111111111111,Average
-0.1,1948,41.59,23.105555555555558,-0.05555555555555556,Average
-0.1,1948,32.58,18.099999999999998,-0.05555555555555556,Average
-4.2,1949,25.92,14.4,-2.3333333333333335,Average
-1.91,1949,31.91,17.727777777777778,-1.0611111111111111,Average
-0.73,1949,40.77,22.650000000000002,-0.40555555555555556,Average
1.02,1949,52.07,28.927777777777777,0.5666666666666667,Average
1.52,1949,61.72,34.288888888888884,0.8444444444444444,Average
0.75,1949,69.24,38.46666666666666,0.41666666666666663,Average
0.6,1949,74.21,41.227777777777774,0.3333333333333333,Average
0,1949,72.1,40.05555555555555,0,Average
-1.13,1949,63.73,35.40555555555555,-0.6277777777777777,Average
-0.06,1949,54.05,30.027777777777775,-0.03333333333333333,Average
3.58,1949,45.27,25.150000000000002,1.988888888888889,Average
0.58,1949,33.26,18.477777777777778,0.3222222222222222,Average
0.31,1950,30.43,16.905555555555555,0.17222222222222222,Average
1.73,1950,35.55,19.749999999999996,0.961111111111111,Average
-2.66,1950,38.84,21.57777777777778,-1.4777777777777779,Average
-2.4,1950,48.65,27.027777777777775,-1.3333333333333333,Average
-0.75,1950,59.45,33.02777777777778,-0.41666666666666663,Average
-0.56,1950,67.93,37.738888888888894,-0.3111111111111111,Average
-2.39,1950,71.22,39.56666666666666,-1.3277777777777777,Average
-2.08,1950,70.02,38.9,-1.1555555555555557,Average
-1.36,1950,63.5,35.27777777777778,-0.7555555555555555,Average
3.36,1950,57.47,31.927777777777777,1.8666666666666665,Average
-1.05,1950,40.64,22.57777777777778,-0.5833333333333334,Average
0.33,1950,33.01,18.33888888888889,0.18333333333333335,Average
0.08,1951,30.2,16.77777777777778,0.044444444444444446,Average
0.72,1951,34.54,19.188888888888886,0.39999999999999997,Average
-2.95,1951,38.55,21.416666666666664,-1.6388888888888888,Average
-1.32,1951,49.73,27.627777777777776,-0.7333333333333334,Average
0.56,1951,60.76,33.75555555555555,0.3111111111111111,Average
-1.84,1951,66.65,37.02777777777778,-1.0222222222222221,Average
0.08,1951,73.69,40.93888888888889,0.044444444444444446,Average
-0.21,1951,71.89,39.93888888888889,-0.11666666666666665,Average
-0.77,1951,64.09,35.605555555555554,-0.42777777777777776,Average
-0.11,1951,54,30,-0.06111111111111111,Average
-3.61,1951,38.08,21.155555555555555,-2.0055555555555555,Average
-1.45,1951,31.23,17.35,-0.8055555555555555,Average
1.88,1952,32,17.77777777777778,1.0444444444444443,Average
1.64,1952,35.46,19.7,0.911111111111111,Average
-3.81,1952,37.69,20.938888888888886,-2.1166666666666667,Average
0.61,1952,51.66,28.699999999999996,0.33888888888888885,Average
0.38,1952,60.58,33.65555555555555,0.2111111111111111,Average
2.26,1952,70.75,39.30555555555556,1.2555555555555553,Average
0.49,1952,74.1,41.166666666666664,0.2722222222222222,Average
0.72,1952,72.82,40.45555555555555,0.39999999999999997,Average
1.03,1952,65.89,36.605555555555554,0.5722222222222222,Average
-1.16,1952,52.95,29.416666666666668,-0.6444444444444444,Average
-1.77,1952,39.92,22.177777777777777,-0.9833333333333333,Average
0.76,1952,33.44,18.577777777777776,0.4222222222222222,Average
6.31,1953,36.43,20.238888888888887,3.505555555555555,Average
2.05,1953,35.87,19.927777777777777,1.1388888888888888,Average
2.25,1953,43.75,24.305555555555554,1.25,Average
-2.29,1953,48.76,27.08888888888889,-1.2722222222222221,Average
-1.02,1953,59.18,32.87777777777778,-0.5666666666666667,Average
1.69,1953,70.18,38.988888888888894,0.9388888888888889,Average
0.56,1953,74.17,41.205555555555556,0.3111111111111111,Average
0,1953,72.1,40.05555555555555,0,Average
1.3,1953,66.16,36.75555555555555,0.7222222222222222,Average
2.1,1953,56.21,31.227777777777778,1.1666666666666667,Average
2.19,1953,43.88,24.37777777777778,1.2166666666666666,Average
1.01,1953,33.69,18.716666666666665,0.5611111111111111,Average
0.78,1954,30.9,17.166666666666664,0.43333333333333335,Average
7.59,1954,41.41,23.005555555555553,4.216666666666667,Average
-2.25,1954,39.25,21.805555555555554,-1.25,Average
3.13,1954,54.18,30.099999999999998,1.7388888888888887,Average
-1.61,1954,58.59,32.550000000000004,-0.8944444444444445,Average
0.36,1954,68.85,38.24999999999999,0.19999999999999998,Average
1.86,1954,75.47,41.92777777777778,1.0333333333333334,Average
0.08,1954,72.18,40.1,0.044444444444444446,Average
1.59,1954,66.45,36.916666666666664,0.8833333333333333,Average
0.57,1954,54.68,30.377777777777776,0.31666666666666665,Average
2.37,1954,44.06,24.477777777777778,1.3166666666666667,Average
1.23,1954,33.91,18.838888888888885,0.6833333333333333,Average
-0.77,1955,29.35,16.305555555555557,-0.42777777777777776,Average
-2.77,1955,31.05,17.25,-1.5388888888888888,Average
-1.44,1955,40.06,22.255555555555556,-0.7999999999999999,Average
1.81,1955,52.86,29.366666666666667,1.0055555555555555,Average
1.09,1955,61.29,34.05,0.6055555555555556,Average
-1.95,1955,66.54,36.96666666666667,-1.0833333333333333,Average
0.83,1955,74.44,41.355555555555554,0.4611111111111111,Average
1.77,1955,73.87,41.03888888888889,0.9833333333333333,Average
1.02,1955,65.88,36.599999999999994,0.5666666666666667,Average
0.93,1955,55.04,30.577777777777776,0.5166666666666667,Average
-3.46,1955,38.23,21.238888888888887,-1.922222222222222,Average
-0.97,1955,31.71,17.616666666666667,-0.5388888888888889,Average
0.89,1956,31.01,17.227777777777778,0.49444444444444446,Average
-1.55,1956,32.27,17.92777777777778,-0.8611111111111112,Average
-0.75,1956,40.75,22.63888888888889,-0.41666666666666663,Average
-1.68,1956,49.37,27.427777777777777,-0.9333333333333332,Average
1.57,1956,61.77,34.31666666666667,0.8722222222222222,Average
1.87,1956,70.36,39.08888888888889,1.038888888888889,Average
-0.55,1956,73.06,40.58888888888889,-0.3055555555555556,Average
-0.41,1956,71.69,39.827777777777776,-0.22777777777777775,Average
0.24,1956,65.1,36.166666666666664,0.13333333333333333,Average
2.05,1956,56.16,31.199999999999996,1.1388888888888888,Average
-1.37,1956,40.32,22.4,-0.7611111111111112,Average
3.55,1956,36.23,20.127777777777776,1.972222222222222,Average
-3.05,1957,27.07,15.038888888888888,-1.6944444444444442,Average
4.25,1957,38.07,21.15,2.361111111111111,Average
-0.23,1957,41.27,22.92777777777778,-0.12777777777777777,Average
-0.35,1957,50.7,28.166666666666668,-0.19444444444444442,Average
-0.55,1957,59.65,33.138888888888886,-0.3055555555555556,Average
0.21,1957,68.7,38.166666666666664,0.11666666666666665,Average
0.67,1957,74.28,41.266666666666666,0.37222222222222223,Average
-0.45,1957,71.65,39.80555555555556,-0.25,Average
-0.68,1957,64.18,35.65555555555556,-0.37777777777777777,Average
-2.44,1957,51.67,28.705555555555556,-1.3555555555555554,Average
-1.43,1957,40.26,22.366666666666664,-0.7944444444444444,Average
4.32,1957,37,20.555555555555554,2.4,Average
1.48,1958,31.6,17.555555555555557,0.8222222222222222,Average
-1.84,1958,31.98,17.766666666666666,-1.0222222222222221,Average
-3.83,1958,37.67,20.927777777777777,-2.1277777777777778,Average
-0.78,1958,50.27,27.927777777777777,-0.43333333333333335,Average
2.22,1958,62.42,34.67777777777778,1.2333333333333334,Average
-0.56,1958,67.93,37.738888888888894,-0.3111111111111111,Average
-0.98,1958,72.63,40.349999999999994,-0.5444444444444444,Average
1.19,1958,73.29,40.71666666666667,0.6611111111111111,Average
0.57,1958,65.43,36.35,0.31666666666666665,Average
0.62,1958,54.73,30.40555555555555,0.34444444444444444,Average
1.33,1958,43.02,23.900000000000002,0.7388888888888889,Average
-0.46,1958,32.22,17.9,-0.25555555555555554,Average
-0.62,1959,29.5,16.38888888888889,-0.34444444444444444,Average
-1.33,1959,32.49,18.05,-0.7388888888888889,Average
-0.05,1959,41.45,23.02777777777778,-0.02777777777777778,Average
0.55,1959,51.6,28.666666666666668,0.3055555555555556,Average
0.64,1959,60.84,33.800000000000004,0.35555555555555557,Average
1.47,1959,69.96,38.86666666666666,0.8166666666666667,Average
-0.03,1959,73.58,40.87777777777777,-0.016666666666666666,Average
1.07,1959,73.17,40.65,0.5944444444444444,Average
-0.12,1959,64.74,35.96666666666666,-0.06666666666666667,Average
-0.78,1959,53.33,29.627777777777776,-0.43333333333333335,Average
-3.03,1959,38.66,21.477777777777774,-1.6833333333333331,Average
3.26,1959,35.94,19.966666666666665,1.811111111111111,Average
-0.66,1960,29.46,16.366666666666667,-0.3666666666666667,Average
-3.3,1960,30.52,16.955555555555556,-1.8333333333333333,Average
-5.59,1960,35.91,19.95,-3.105555555555555,Average
